time_s,ch1,ch2,ch3
0.57138,2.220446049250313e-16,4.440892098500626e-16,2.636779683484747e-16
0.5714,0.0,5.551115123125783e-17,-1.1102230246251565e-16
0.57142,0.0,-1.3877787807814457e-16,-2.498001805406602e-16
0.57144,1.1102230246251565e-16,8.326672684688674e-17,1.5265566588595902e-16
0.57146,-2.220446049250313e-16,-1.1102230246251565e-16,-4.440892098500626e-16
0.57148,-2.220446049250313e-16,-1.3877787807814457e-16,-3.3306690738754696e-16
0.5715,-2.220446049250313e-16,-1.942890293094024e-16,-2.220446049250313e-16
0.57152,2.7755575615628914e-16,2.220446049250313e-16,2.220446049250313e-16
0.57154,0.0,5.551115123125783e-17,-1.1102230246251565e-16
0.57156,4.440892098500626e-16,0.0,4.996003610813204e-16
0.57158,3.9898639947466563e-17,0.0,1.1102230246251565e-16
0.5716,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16
0.57162,-1.3877787807814457e-17,-3.3306690738754696e-16,5.551115123125783e-17
0.57164,4.440892098500626e-16,0.0,6.661338147750939e-16
0.57166,0.0,5.551115123125783e-17,0.0
0.57168,0.0,2.220446049250313e-16,0.0
0.5717,-5.551115123125783e-16,-2.220446049250313e-16,-4.440892098500626e-16
0.57172,-2.220446049250313e-16,-1.7607443281164592e-16,-3.3306690738754696e-16
0.57174,4.440892098500626e-16,3.3306690738754696e-16,8.881784197001252e-16
0.57176,0.0,2.220446049250313e-16,-5.551115123125783e-17
0.57178,-3.3306690738754696e-16,2.220446049250313e-16,-2.220446049250313e-16
0.5718,-4.163336342344337e-17,-1.6653345369377348e-16,-5.551115123125783e-17
0.57182,0.0,3.3306690738754696e-16,2.220446049250313e-16
0.57184,0.0,1.1102230246251565e-16,0.0
0.57186,-1.1102230246251565e-16,2.220446049250313e-16,-2.3592239273284576e-16
0.57188,-2.220446049250313e-16,-2.220446049250313e-16,-4.440892098500626e-16
0.5719,-4.440892098500626e-16,-2.7755575615628914e-16,-4.440892098500626e-16
0.57192,0.0,1.3877787807814457e-17,-5.551115123125783e-17
0.57194,0.0,5.551115123125783e-17,1.1102230246251565e-16
0.57196,1.1102230246251565e-16,-2.220446049250313e-16,2.636779683484747e-16
0.57198,-2.220446049250313e-16,0.0,-1.5265566588595902e-16
0.572,1.1102230246251565e-16,-2.220446049250313e-16,2.220446049250313e-16
0.57202,0.0,0.0,2.220446049250313e-16
0.57204,5.551115123125783e-17,1.1102230246251565e-16,1.1102230246251565e-16
0.57206,4.440892098500626e-16,2.220446049250313e-16,2.220446049250313e-16
0.57208,-3.3306690738754696e-16,0.0,-4.996003610813204e-16
0.5721,-1.1102230246251565e-16,0.0,-1.734723475976807e-16
0.57212,2.220446049250313e-16,4.440892098500626e-16,3.885780586188048e-16
0.57214,5.551115123125783e-17,1.6653345369377348e-16,5.551115123125783e-17
0.57216,5.551115123125783e-17,2.220446049250313e-16,0.0
0.57218,2.7755575615628914e-17,2.0816681711721685e-17,0.0
0.5722,-4.440892098500626e-16,-1.942890293094024e-16,-3.7470027081099033e-16
0.57222,1.1102230246251565e-16,1.6653345369377348e-16,2.220446049250313e-16
0.57224,-6.661338147750939e-16,-5.551115123125783e-17,-4.718447854656915e-16
0.57226,0.0,-5.551115123125783e-17,5.551115123125783e-17
0.57228,0.0,-2.220446049250313e-16,0.0
0.5723,0.0,-5.551115123125783e-17,5.551115123125783e-17
0.57232,-2.220446049250313e-16,-1.1102230246251565e-16,-3.7470027081099033e-16
0.57234,4.440892098500626e-16,0.0,7.355227538141662e-16
0.57236,-1.6653345369377348e-16,-2.220446049250313e-16,0.0
0.57238,0.0,-1.1102230246251565e-16,-1.6653345369377348e-16
0.5724,1.1102230246251565e-16,2.220446049250313e-16,0.0
0.57242,2.220446049250313e-16,3.3306690738754696e-16,1.6653345369377348e-16
0.57244,-5.551115123125783e-17,0.0,-5.551115123125783e-17
0.57246,-2.220446049250313e-16,-5.551115123125783e-17,-2.914335439641036e-16
0.57248,5.551115123125783e-17,1.1102230246251565e-16,1.3877787807814457e-17
0.5725,1.1102230246251565e-16,8.326672684688674e-17,1.3877787807814457e-16
0.57252,4.440892098500626e-16,0.0,3.3306690738754696e-16
0.57254,2.220446049250313e-16,1.6653345369377348e-16,4.996003610813204e-16
0.57256,1.1102230246251565e-16,5.551115123125783e-17,1.1102230246251565e-16
0.57258,-4.440892098500626e-16,-1.6653345369377348e-16,-4.996003610813204e-16
0.5726,-2.220446049250313e-16,-8.326672684688674e-17,-8.326672684688674e-17
0.57262,1.1102230246251565e-16,6.938893903907228e-17,1.6653345369377348e-16
0.57264,-8.326672684688674e-17,1.1102230246251565e-16,-1.1102230246251565e-16
0.57266,-2.220446049250313e-16,-1.6653345369377348e-16,-4.440892098500626e-16
0.57268,-2.220446049250313e-16,-4.440892098500626e-16,-1.942890293094024e-16
0.5727,2.220446049250313e-16,0.0,2.7755575615628914e-16
0.57272,-2.7755575615628914e-17,0.0,-5.551115123125783e-17
0.57274,-1.1102230246251565e-16,-1.6653345369377348e-16,-2.498001805406602e-16
0.57276,3.469446951953614e-17,2.7755575615628914e-17,5.551115123125783e-17
0.57278,1.1102230246251565e-16,1.6653345369377348e-16,1.5959455978986625e-16
0.5728,-1.6653345369377348e-16,0.0,-2.498001805406602e-16
0.57282,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16
0.57284,2.7755575615628914e-17,5.551115123125783e-17,-5.551115123125783e-17
0.57286,4.440892098500626e-16,0.0,1.1102230246251565e-16
0.57288,-6.938893903907228e-18,5.551115123125783e-17,-5.551115123125783e-17
0.5729,4.440892098500626e-16,2.5673907444456745e-16,5.551115123125783e-16
0.57292,-2.220446049250313e-16,-2.220446049250313e-16,-1.6653345369377348e-16
0.57294,-2.7755575615628914e-16,-2.0816681711721685e-16,-2.220446049250313e-16
0.57296,2.0816681711721685e-17,5.551115123125783e-17,-2.7755575615628914e-17
0.57298,0.0,0.0,-2.220446049250313e-16
0.573,-5.551115123125783e-17,0.0,-5.551115123125783e-17
0.57302,-1.1102230246251565e-16,-5.551115123125783e-17,0.0
0.57304,0.0,-6.245004513516506e-17,-3.3306690738754696e-16
0.57306,2.220446049250313e-16,1.1102230246251565e-16,4.440892098500626e-16
0.57308,0.0,0.0,-1.3877787807814457e-17
0.5731,-1.8735013540549517e-16,-3.3306690738754696e-16,-2.220446049250313e-16
0.57312,5.551115123125783e-17,0.0,1.0495077029659683e-16
0.57314,4.440892098500626e-16,3.885780586188048e-16,6.661338147750939e-16
0.57316,-4.440892098500626e-16,-5.551115123125783e-17,-3.885780586188048e-16
0.57318,1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
0.5732,1.1102230246251565e-16,2.0816681711721685e-17,1.1102230246251565e-16
0.57322,1.1102230246251565e-16,2.220446049250313e-16,-1.1102230246251565e-16
0.57324,1.6653345369377348e-16,1.3877787807814457e-16,1.6653345369377348e-16
0.57326,0.0,-2.220446049250313e-16,0.0
0.57328,-2.220446049250313e-16,-1.5265566588595902e-16,-2.220446049250313e-16
0.5733,7.632783294297951e-17,1.1102230246251565e-16,1.1102230246251565e-16
0.57332,-4.440892098500626e-16,-1.1102230246251565e-16,-6.661338147750939e-16
0.57334,1.1102230246251565e-16,-1.3877787807814457e-17,0.0
0.57336,-2.220446049250313e-16,-2.7755575615628914e-16,-3.3306690738754696e-16
0.57338,-2.220446049250313e-16,5.551115123125783e-17,-2.7755575615628914e-16
0.5734,-1.1102230246251565e-16,2.220446049250313e-16,-1.1102230246251565e-16
0.57342,2.220446049250313e-16,0.0,1.6653345369377348e-16
0.57344,-1.1102230246251565e-16,-4.440892098500626e-16,-1.1102230246251565e-16
0.57346,2.220446049250313e-16,0.0,3.3306690738754696e-16
0.57348,1.6653345369377348e-16,1.1102230246251565e-16,8.326672684688674e-17
0.5735,0.0,5.551115123125783e-17,-2.7755575615628914e-17
0.57352,-1.6653345369377348e-16,-2.220446049250313e-16,-1.6653345369377348e-16
0.57354,1.1102230246251565e-16,-1.1102230246251565e-16,2.220446049250313e-16
0.57356,5.551115123125783e-17,2.220446049250313e-16,2.7755575615628914e-17
0.57358,-2.220446049250313e-16,0.0,-4.3021142204224816e-16
0.5736,-8.326672684688674e-17,-5.551115123125783e-17,-1.6653345369377348e-16
0.57362,-5.551115123125783e-17,-5.551115123125783e-17,-5.204170427930421e-17
0.57364,2.220446049250313e-16,1.942890293094024e-16,4.996003610813204e-16
0.57366,-2.220446049250313e-16,-1.6653345369377348e-16,-5.273559366969494e-16
0.57368,-2.7755575615628914e-17,0.0,-9.71445146547012e-17
0.5737,5.551115123125783e-17,6.938893903907228e-17,1.6653345369377348e-16
0.57372,-4.440892098500626e-16,-3.885780586188048e-16,-5.967448757360216e-16
0.57374,1.1102230246251565e-16,6.245004513516506e-17,1.942890293094024e-16
0.57376,-6.938893903907228e-17,0.0,-1.1102230246251565e-16
0.57378,-2.220446049250313e-16,-2.220446049250313e-16,-2.3592239273284576e-16
0.5738,0.0,-2.220446049250313e-16,-1.6653345369377348e-16
0.57382,6.938893903907228e-18,-5.551115123125783e-17,3.469446951953614e-17
0.57384,1.1102230246251565e-16,-1.3877787807814457e-17,5.551115123125783e-17
0.57386,-4.440892098500626e-16,-1.1102230246251565e-16,-4.718447854656915e-16
0.57388,0.0,-1.1102230246251565e-16,-1.8041124150158794e-16
0.5739,1.1102230246251565e-16,5.551115123125783e-17,1.942890293094024e-16
0.57392,-4.440892098500626e-16,-1.97758476261356e-16,-3.885780586188048e-16
0.57394,0.0,-1.1102230246251565e-16,1.1102230246251565e-16
0.57396,3.3306690738754696e-16,5.551115123125783e-17,3.608224830031759e-16
0.57398,8.326672684688674e-17,1.6653345369377348e-16,1.1102230246251565e-16
0.574,-2.220446049250313e-16,-5.551115123125783e-17,-2.220446049250313e-16
0.57402,-1.6653345369377348e-16,-2.220446049250313e-16,-1.1102230246251565e-16
0.57404,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16
0.57406,0.0,1.1102230246251565e-16,-3.3306690738754696e-16
0.57408,-1.1102230246251565e-16,1.1102230246251565e-16,-2.220446049250313e-16
0.5741,-3.3306690738754696e-16,-2.2898349882893854e-16,-3.3306690738754696e-16
0.57412,-1.1102230246251565e-16,5.551115123125783e-17,0.0
0.57414,0.0,1.1102230246251565e-16,-1.6653345369377348e-16
0.57416,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
0.57418,5.551115123125783e-17,-2.220446049250313e-16,1.1102230246251565e-16
0.5742,1.942890293094024e-16,1.1102230246251565e-16,6.661338147750939e-16
0.57422,2.220446049250313e-16,2.220446049250313e-16,1.6653345369377348e-16
0.57424,-1.1102230246251565e-16,-1.1102230246251565e-16,0.0
0.57426,-2.7755575615628914e-17,-3.469446951953614e-17,-2.7755575615628914e-17
0.57428,2.220446049250313e-16,2.220446049250313e-16,3.3306690738754696e-16
0.5743,0.0,1.1102230246251565e-16,2.220446049250313e-16
0.57432,0.0,0.0,-2.220446049250313e-16
0.57434,2.220446049250313e-16,1.1102230246251565e-16,3.3306690738754696e-16
0.57436,1.196959198423997e-16,-2.220446049250313e-16,2.7755575615628914e-16
0.57438,-2.220446049250313e-16,-5.551115123125783e-17,-2.7755575615628914e-16
0.5744,-2.220446049250313e-16,-1.1102230246251565e-16,-4.996003610813204e-16
0.57442,0.0,2.7755575615628914e-17,2.220446049250313e-16
0.57444,1.1102230246251565e-16,1.1102230246251565e-16,2.7755575615628914e-16
0.57446,-1.1102230246251565e-16,-5.551115123125783e-17,-1.6653345369377348e-16
0.57448,0.0,3.3306690738754696e-16,2.220446049250313e-16
0.5745,5.551115123125783e-17,0.0,-1.3877787807814457e-17
0.57452,2.220446049250313e-16,0.0,2.220446049250313e-16
0.57454,0.0,-1.1102230246251565e-16,0.0
0.57456,2.220446049250313e-16,2.3592239273284576e-16,4.440892098500626e-16
0.57458,2.220446049250313e-16,1.3877787807814457e-16,2.3592239273284576e-16
0.5746,-4.440892098500626e-16,-3.3306690738754696e-16,-3.3306690738754696e-16
0.57462,1.1102230246251565e-16,1.1102230246251565e-16,2.498001805406602e-16
0.57464,1.6653345369377348e-16,1.942890293094024e-16,2.220446049250313e-16
0.57466,-1.1102230246251565e-16,1.1102230246251565e-16,-2.220446049250313e-16
0.57468,1.1102230246251565e-16,2.7755575615628914e-17,0.0
0.5747,2.7755575615628914e-17,0.0,5.551115123125783e-17
0.57472,0.0,8.326672684688674e-17,0.0
0.57474,-3.3306690738754696e-16,-1.1102230246251565e-16,-4.440892098500626e-16
0.57476,-2.220446049250313e-16,-2.3592239273284576e-16,-4.440892098500626e-16
0.57478,0.0,4.163336342344337e-17,0.0
0.5748,5.551115123125783e-17,1.6653345369377348e-16,0.0
0.57482,-1.6653345369377348e-16,0.0,-2.220446049250313e-16
0.57484,-2.220446049250313e-16,-1.1102230246251565e-16,-3.3306690738754696e-16
0.57486,4.440892098500626e-16,2.498001805406602e-16,5.551115123125783e-16
0.57488,5.551115123125783e-17,6.245004513516506e-17,0.0
0.5749,-9.020562075079397e-17,-1.3877787807814457e-16,-1.1102230246251565e-16
0.57492,3.3306690738754696e-16,-5.551115123125783e-17,2.7755575615628914e-16
0.57494,4.440892098500626e-16,1.1102230246251565e-16,6.661338147750939e-16
0.57496,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.6653345369377348e-16
0.57498,0.0,2.7755575615628914e-17,1.1102230246251565e-16
0.575,2.220446049250313e-16,1.6653345369377348e-16,2.7755575615628914e-16
0.57502,-2.7755575615628914e-17,2.7755575615628914e-17,-5.551115123125783e-17
0.57504,-2.220446049250313e-16,-1.6653345369377348e-16,-3.3306690738754696e-16
0.57506,-1.3877787807814457e-17,-4.163336342344337e-17,-2.7755575615628914e-17
0.57508,1.1102230246251565e-16,1.4224732503009818e-16,2.7755575615628914e-16
0.5751,-2.220446049250313e-16,-5.551115123125783e-17,-2.7755575615628914e-16
0.57512,-2.220446049250313e-16,-1.5959455978986625e-16,-2.220446049250313e-16
0.57514,-8.881784197001252e-16,-3.3306690738754696e-16,-7.771561172376096e-16
0.57516,2.220446049250313e-16,2.7755575615628914e-16,4.440892098500626e-16
0.57518,-1.1102230246251565e-16,2.7755575615628914e-17,-5.551115123125783e-17
0.5752,5.551115123125783e-17,-2.42861286636753e-17,0.0
0.57522,1.1102230246251565e-16,-5.551115123125783e-17,5.551115123125783e-17
0.57524,-4.440892098500626e-16,-1.0408340855860843e-16,-2.7755575615628914e-16
0.57526,2.7755575615628914e-17,2.7755575615628914e-17,1.1102230246251565e-16
0.57528,-2.220446049250313e-16,-1.6653345369377348e-16,-2.220446049250313e-16
0.5753,-4.440892098500626e-16,-2.7755575615628914e-16,-4.440892098500626e-16
0.57532,0.0,4.5102810375396984e-17,0.0
0.57534,2.220446049250313e-16,1.3877787807814457e-16,3.3306690738754696e-16
0.57536,-4.440892098500626e-16,-3.885780586188048e-16,-6.661338147750939e-16
0.57538,-2.220446049250313e-16,-1.8041124150158794e-16,-3.885780586188048e-16
0.5754,4.440892098500626e-16,3.885780586188048e-16,5.551115123125783e-16
0.57542,2.220446049250313e-16,1.1102230246251565e-16,2.7755575615628914e-16
0.57544,-4.440892098500626e-16,-3.885780586188048e-16,-6.661338147750939e-16
0.57546,-1.1102230246251565e-16,-1.3877787807814457e-16,-1.6653345369377348e-16
0.57548,4.440892098500626e-16,3.3306690738754696e-16,4.440892098500626e-16
0.5755,-2.220446049250313e-16,-5.551115123125783e-17,-4.649058915617843e-16
0.57552,-2.7755575615628914e-16,-2.38524477946811e-16,-2.220446049250313e-16
0.57554,2.220446049250313e-16,1.1102230246251565e-16,3.5388358909926865e-16
0.57556,0.0,5.551115123125783e-17,-1.1102230246251565e-16
0.57558,2.220446049250313e-16,1.1102230246251565e-16,3.3306690738754696e-16
0.5756,-1.942890293094024e-16,-1.1102230246251565e-16,-2.220446049250313e-16
0.57562,-1.1102230246251565e-16,-1.3877787807814457e-16,-2.3592239273284576e-16
0.57564,2.220446049250313e-16,1.1102230246251565e-16,2.220446049250313e-16
0.57566,2.220446049250313e-16,1.1102230246251565e-16,4.163336342344337e-16
0.57568,4.440892098500626e-16,1.1102230246251565e-16,4.440892098500626e-16
0.5757,-6.661338147750939e-16,-2.0816681711721685e-16,-4.996003610813204e-16
0.57572,6.661338147750939e-16,3.3306690738754696e-16,6.661338147750939e-16
0.57574,-1.1102230246251565e-16,-5.551115123125783e-17,-5.551115123125783e-17
0.57576,0.0,-4.163336342344337e-17,2.220446049250313e-16
0.57578,0.0,-2.7755575615628914e-17,5.551115123125783e-17
0.5758,0.0,2.2551405187698492e-17,-1.1102230246251565e-16
0.57582,4.440892098500626e-16,2.498001805406602e-16,5.551115123125783e-16
0.57584,-2.7755575615628914e-16,-2.220446049250313e-16,-4.440892098500626e-16
0.57586,-1.3877787807814457e-16,-1.1102230246251565e-16,-2.220446049250313e-16
0.57588,2.498001805406602e-16,3.0531133177191805e-16,4.440892098500626e-16
0.5759,1.6653345369377348e-16,1.942890293094024e-16,2.220446049250313e-16
